索引,url,公众号名称,状态
0,https://mp.weixin.qq.com/s/3rBf5AMjTawPqfJXFLEB9w,债文新说,done
1,https://mp.weixin.qq.com/s/53_br9IfMBCrd9Hh82SpkQ,天风研究,done
2,https://mp.weixin.qq.com/s/Q8g949hjFPBoXgjmU41MBw,中金固定收益研究,done
3,https://mp.weixin.qq.com/s/xhZE_ij6uWR_XZMgAk8jfw,银华固收交易,done
4,https://mp.weixin.qq.com/s/U_OCCq0JslkK2fEkuMztNw,知行合一9527,done
5,https://mp.weixin.qq.com/s/hEuw8O-5LXoU6KAtA37TmQ,岛上葫芦娃,done
6,https://mp.weixin.qq.com/s/kZCKxxdkfnQLJGUhLcQrpw,损益笔记,done
7,https://mp.weixin.qq.com/s/C1OkNkDWXepqwNxlEM4eDA,每调买机,done
8,https://mp.weixin.qq.com/s/ToP1rICDgHeT-cB1El8YUQ,上海国利货币经纪有限公司,done
9,https://mp.weixin.qq.com/s/nb1y9Nx3YcT5LfBwzU2blg,上海国际货币经纪,done
10,https://mp.weixin.qq.com/s/PgmQKQ2UCWAJ3K4njhMKNg,债券笔记,done
11,https://mp.weixin.qq.com/s/qyWFv0LG_y7rcfvE8s_ivA,债市唤醒官,done
12,https://mp.weixin.qq.com/s/RLfNvKev6kjNZzq04NSTeA,交易圈,done
13,https://mp.weixin.qq.com/s/7okVlc99QIIxlo59hP2-5w,屈庆债券论坛,done
14,https://mp.weixin.qq.com/s/1Giic-p0JapbIBW8VPpQpw,郭磊宏观茶座,done
15,https://mp.weixin.qq.com/s/dVzHE-BIzA1x06VstzHYIw,川阅全球宏观,done
16,https://mp.weixin.qq.com/s/tHUMMgB2j4tyUu2Vgy3UXQ,固收亮话,done
17,https://mp.weixin.qq.com/s/X3fftkY2Q6k8OvxIZebp-w,一瑜中的,done
18,https://mp.weixin.qq.com/s/BHsha80YZiNishXfzN5n7A,颜子琦固收研究,done
19,https://mp.weixin.qq.com/s/Wts3KUr7IJIObP9fb00mpg,宏观边际MacroMargin,done
20,https://mp.weixin.qq.com/s/2ZoZQLnifyE2l1lSuOdtcQ,郁言债市,done
21,https://mp.weixin.qq.com/s/WKdp_mTxoUUEruhYQa1kuw,固收彬法,done
22,https://mp.weixin.qq.com/s/10FNg1nRGXWQInHpLr8zeA,王剑的角度,done
23,https://mp.weixin.qq.com/s/T_R3a3_ue4yAis0ep98UiQ,覃汉研究笔记,done
24,https://mp.weixin.qq.com/s/RQ0ZA9bIqU3NfjUNIgMnxw,睿哲固收研究,done
25,https://mp.weixin.qq.com/s/0Vfouxh_f-RJQKXwn14g2w,智堡Mikko,done
26,https://mp.weixin.qq.com/s/8vHJNCkDcu3mhMDnWMWJsw,卫斯李的投研笔记,done
27,https://mp.weixin.qq.com/s/W_6SMdjeGqmfr5CqY61lXA,冠南固收视野,done
28,https://mp.weixin.qq.com/s/gqwWJHQ7nvGYypn5zUu40w,债市大力丸,done
29,https://mp.weixin.qq.com/s/0jLP0nV6btFXQ5QHIEwYkA,沧海一土狗,done
30,https://mp.weixin.qq.com/s/PycGI__ffwb6YmpRSJmkjQ,红军债市笔记,done
31,https://mp.weixin.qq.com/s/5Eeawcwz3iuuMEAW60fmXg,边际Lab,done
32,https://mp.weixin.qq.com/s/3uwc0gYNmDQCyY4-zgxWVg,杰析资负,done
33,https://mp.weixin.qq.com/s/Lp03zNVS0DUUWYnFsBmi5A,qeubee,done
34,https://mp.weixin.qq.com/s/LB1tBUV6n69OXY_DgWznMg,华泰证券固收研究,done
35,https://mp.weixin.qq.com/s/vtVybjaoVfVbC7bX8kQFBQ,国泰海通固收研究,done
