文件,函数,行,裸输出(print/tasks_echo/echo),log.*数,状态,完成
app/database.py,data_dir,18,0,0,待检查-补标准日志,
app/database.py,default_html_dir,23,0,0,待检查-补标准日志,
app/database.py,get_conn,28,0,0,待检查-补标准日志,
app/database.py,init_db,36,0,6,已收编,
app/env.py,env,11,0,0,待检查-补标准日志,
app/env.py,is_prod,16,0,0,待检查-补标准日志,
app/env.py,is_dev,21,0,0,待检查-补标准日志,
app/main.py,startup,38,0,0,待检查-补标准日志,
app/main.py,startup,45,0,0,待检查-补标准日志,
app/main.py,health,56,0,0,待检查-补标准日志,
app/main.py,ocr_ready,72,0,0,待检查-补标准日志,
app/core/common.py,wait_page_stable,22,0,0,待检查-补标准日志,
app/core/common.py,_read_point,59,0,0,待检查-补标准日志,
app/core/common.py,_extract_read_from_items,78,0,0,待检查-补标准日志,
app/core/common.py,_save_reads,112,0,1,已收编,
app/core/common.py,_finish,132,0,0,待检查-补标准日志,
app/core/common.py,merge_comment_shots,153,0,0,待检查-补标准日志,
app/core/common.py,clean_comment_text,192,0,0,待检查-补标准日志,
app/core/common.py,calc_comment_id,199,0,0,待检查-补标准日志,
app/core/common.py,save_comments,205,0,0,待检查-补标准日志,
app/core/common.py,_out,114,0,1,已收编,
app/core/common.py,_img,159,0,0,待检查-补标准日志,
app/core/computer.py,_u32,139,0,0,待检查-补标准日志,
app/core/computer.py,_k32,229,0,0,待检查-补标准日志,
app/core/computer.py,enable_dpi_awareness,255,0,0,待检查-补标准日志,
app/core/computer.py,_enum_all_windows,269,0,0,待检查-补标准日志,
app/core/computer.py,_pids_by_exe,287,0,0,待检查-补标准日志,
app/core/computer.py,find_windows,313,0,0,待检查-补标准日志,
app/core/computer.py,_force_foreground,341,0,0,待检查-补标准日志,
app/core/computer.py,show_window,352,0,0,待检查-补标准日志,
app/core/computer.py,close_window,366,0,0,待检查-补标准日志,
app/core/computer.py,move_window,373,0,0,待检查-补标准日志,
app/core/computer.py,mouse_click,408,0,0,待检查-补标准日志,
app/core/computer.py,_preview_worker,443,0,0,待检查-补标准日志,
app/core/computer.py,preview_point,477,0,0,待检查-补标准日志,
app/core/computer.py,capture_point,493,0,0,待检查-补标准日志,
app/core/computer.py,_set_latest_click,574,0,0,待检查-补标准日志,
app/core/computer.py,get_latest_click,580,0,0,待检查-补标准日志,
app/core/computer.py,clear_latest_click,587,0,0,待检查-补标准日志,
app/core/computer.py,flash_red_dot,594,0,0,待检查-补标准日志,
app/core/computer.py,scroll,601,0,0,待检查-补标准日志,
app/core/computer.py,type_text,635,0,0,待检查-补标准日志,
app/core/computer.py,_si_key,662,0,0,待检查-补标准日志,
app/core/computer.py,ctrl_key,675,0,0,待检查-补标准日志,
app/core/computer.py,ctrl_shift_key,687,0,0,待检查-补标准日志,
app/core/computer.py,key_press,701,0,0,待检查-补标准日志,
app/core/computer.py,read_clipboard_text,713,0,0,待检查-补标准日志,
app/core/computer.py,set_clipboard_text,738,0,0,待检查-补标准日志,
app/core/computer.py,clear_clipboard,765,0,0,待检查-补标准日志,
app/core/computer.py,_ll_kbd_proc,792,0,0,待检查-补标准日志,
app/core/computer.py,_snip_hook_thread,820,0,0,待检查-补标准日志,
app/core/computer.py,disable_snipping,830,0,0,待检查-补标准日志,
app/core/computer.py,enable_snipping,859,0,0,待检查-补标准日志,
app/core/computer.py,shot_abs,884,0,0,待检查-补标准日志,
app/core/computer.py,wechat_rect,904,0,0,待检查-补标准日志,
app/core/computer.py,work_area,918,0,0,待检查-补标准日志,
app/core/computer.py,screenshot,930,0,0,待检查-补标准日志,
app/core/computer.py,process_working_set,998,0,0,待检查-补标准日志,
app/core/computer.py,callback,275,0,0,待检查-补标准日志,
app/core/computer.py,callback,504,0,0,待检查-补标准日志,
app/core/computer.py,hook_thread,516,0,0,待检查-补标准日志,
app/core/inputlock.py,InputLock.__init__,37,0,0,待检查-补标准日志,
app/core/inputlock.py,InputLock._kb_callback,49,0,0,待检查-补标准日志,
app/core/inputlock.py,InputLock._ms_callback,73,0,0,待检查-补标准日志,
app/core/inputlock.py,InputLock._hook_thread,87,0,0,待检查-补标准日志,
app/core/inputlock.py,InputLock.start,114,0,0,待检查-补标准日志,
