文件,方法,路径,处理函数,行号,函数体业务日志,状态,完成
accounts.py,GET,/api,list_accounts,56,有,已完成-接口业务日志,✓
accounts.py,POST,/api/import,import_accounts,158,有,已完成-接口业务日志,✓
accounts.py,POST,/api,create_account,167,有,已完成-接口业务日志,✓
accounts.py,PUT,/api/sort,sort_accounts,181,有,已完成-接口业务日志,✓
accounts.py,PUT,/api/{aid},update_account,189,有,已完成-接口业务日志,✓
accounts.py,GET,/api/articles-by-biz,account_articles_by_biz,227,有,已完成-接口业务日志,✓
accounts.py,GET,/api/comments,article_comments,290,有,已完成-接口业务日志,✓
accounts.py,DELETE,/api/articles-by-biz/{artid},delete_article_by_biz,341,有,已完成-接口业务日志,✓
accounts.py,PUT,/api/articles-by-biz/save,save_article,363,有,已完成-接口业务日志,✓
accounts.py,POST,/api/articles-by-biz,create_article,392,有,已完成-接口业务日志,✓
accounts.py,POST,/api/articles-by-biz/import,import_articles,446,有,已完成-接口业务日志,✓
accounts.py,POST,/api/comments/import,import_comments,492,有,已完成-接口业务日志,✓
accounts.py,DELETE,/api/comments,delete_comments,509,有,已完成-接口业务日志,✓
accounts.py,GET,/api/calendar/{aid},account_calendar,521,有,已完成-接口业务日志,✓
accounts.py,GET,/api/{aid}/articles,account_articles,540,有,已完成-接口业务日志,✓
accounts.py,DELETE,/api/{aid}/articles/{artid},delete_article,560,有,已完成-接口业务日志,✓
accounts.py,DELETE,/api/clear,clear_accounts,569,有,已完成-接口业务日志,✓
accounts.py,DELETE,/api/{aid},delete_account,577,有,已完成-接口业务日志,✓
auto_setup.py,POST,/api/point/{pid},auto_setup_point,27,有,已完成-接口业务日志,✓
auto_setup.py,POST,/api/scroll/{sid},auto_setup_scroll,50,有,已完成-接口业务日志,✓
auto_setup.py,POST,/api/run-all,auto_setup_run_all,78,有,已完成-接口业务日志,✓
auto_setup.py,POST,/api/lock,auto_setup_lock,108,有,已完成-接口业务日志,✓
auto_setup.py,POST,/api/unlock,auto_setup_unlock,116,有,已完成-接口业务日志,✓
auto_setup.py,POST,/api/stop,auto_setup_stop,122,有,已完成-接口业务日志,✓
collect.py,POST,/api/stop,collect_stop,511,有,已完成-接口业务日志,✓
collect.py,POST,/api/start,collect_start,519,有,已完成-接口业务日志,✓
collect.py,POST,/api/update,collect_update,543,有,已完成-接口业务日志,✓
collect.py,POST,/api/comments,collect_comments,565,有,已完成-接口业务日志,✓
collect.py,GET,/api/task-state,task_state,586,有,高频轮询-跳过,—
conflicts.py,GET,/api/check,check,16,有,已完成-接口业务日志,✓
conflicts.py,GET,/api,list_all,23,有,已完成-接口业务日志,✓
conflicts.py,POST,/api/kill,kill,29,有,已完成-接口业务日志,✓
license.py,GET,/api/status,license_status,17,有,已完成-接口业务日志,✓
license.py,POST,/api/verify,license_verify,23,有,已完成-接口业务日志,✓
points.py,GET,/api,list_points,18,有,已完成-接口业务日志,✓
points.py,POST,/api,create_point,26,有,已完成-接口业务日志,✓
points.py,PUT,/api/{pid},update_point,33,有,已完成-接口业务日志,✓
points.py,DELETE,/api/{pid},delete_point,43,有,已完成-接口业务日志,✓
points.py,POST,/api/preview,preview_point,61,有,已完成-接口业务日志,✓
points.py,POST,/api/capture,capture_point,72,有,已完成-接口业务日志,✓
points.py,POST,/api/capture/preview,capture_preview,89,有,高频轮询-跳过,—
points.py,POST,/api/batch-delete,batch_delete_points,101,有,已完成-接口业务日志,✓
points.py,POST,/api/import,import_points,175,有,已完成-接口业务日志,✓
resolve_api.py,GET,/api/resolve-name,resolve_name,10,有,已完成-接口业务日志,✓
scrolls.py,GET,/api,list_scrolls,18,有,已完成-接口业务日志,✓
scrolls.py,POST,/api,create_scroll,26,有,已完成-接口业务日志,✓
scrolls.py,PUT,/api/{sid},update_scroll,34,有,已完成-接口业务日志,✓
scrolls.py,DELETE,/api/{sid},delete_scroll,44,有,已完成-接口业务日志,✓
scrolls.py,POST,/api/import,import_scrolls,118,有,已完成-接口业务日志,✓
scrolls.py,POST,/api/{sid}/run,run_scroll,131,有,已完成-接口业务日志,✓
settings.py,GET,/api/wechat-version,get_wechat_version,31,有,已完成-接口业务日志,✓
settings.py,GET,/api/wechat-check,wechat_check_api,38,有,已完成-接口业务日志,✓
settings.py,GET,/api/ai,get_ai_settings,47,有,已完成-接口业务日志,✓
settings.py,POST,/api/ai,save_ai_settings,53,有,已完成-接口业务日志,✓
settings.py,GET,/api/save-dir,get_save_dir,61,有,已完成-接口业务日志,✓
settings.py,POST,/api/save-dir,save_dir_api,70,有,已完成-接口业务日志,✓
settings.py,POST,/api/open-downloads,open_downloads,81,有,已完成-接口业务日志,✓
settings.py,POST,/api/pick-dir,pick_dir,98,有,已完成-接口业务日志,✓
settings.py,POST,/api/save-article-html,save_article_html_api,116,有,已完成-接口业务日志,✓
settings.py,POST,/api/launch-wechat,launch_wechat,138,有,已完成-接口业务日志,✓
settings.py,GET,/api/app-version,app_version,210,有,已完成-接口业务日志,✓
settings.py,GET,/api/wechat-status,wechat_status,217,有,高频轮询-跳过,—
